state,year,avg_annual_temp_celsius
TAS,2021,8.795
TAS,2022,7.72
TAS,2023,9.8
VIC,1980,9.8
VIC,1981,12.995
VIC,1982,9.485
VIC,1983,12.585
VIC,1984,11.915
VIC,1985,10.815
VIC,1986,9.9
VIC,1987,9.315
VIC,1988,9.745
VIC,1989,14.665
VIC,1990,9.94
VIC,1991,15.285
VIC,1992,11.75
VIC,1993,14
VIC,1994,7.67
VIC,1995,8.52
VIC,1996,11.195
VIC,1997,7.62
VIC,1998,13.435
VIC,1999,12.81
VIC,2000,9.78
VIC,2001,12.365
VIC,2002,9.365
VIC,2003,9.675
VIC,2004,11.675
VIC,2005,9.7
VIC,2006,10.56
VIC,2007,13.74
VIC,2008,11.92
VIC,2009,8.355
VIC,2010,12.095
VIC,2011,9.325
VIC,2012,13.375
VIC,2013,12.94
VIC,2014,12.16
VIC,2015,11.675
VIC,2016,11.77
VIC,2017,7.17
VIC,2018,8.3
VIC,2019,10.86
VIC,2020,12.73
VIC,2021,13.31
VIC,2022,14.675
VIC,2023,16.135
WA,1980,21.36
WA,1981,25.05
WA,1982,24.925
WA,1983,25.24
WA,1984,26.725
WA,1985,27.065
WA,1986,23.525
WA,1987,28.56
WA,1988,27.605
WA,1989,24.255
WA,1990,25.91
WA,1991,31.195
WA,1992,25.48
WA,1993,28.455
WA,1994,27.145
WA,1995,29.47
WA,1996,27.565
WA,1997,22.88
WA,1998,26.31
WA,1999,24.315
WA,2000,21.155
WA,2001,27.55
WA,2002,24.73
WA,2003,24.75
WA,2004,28.52
WA,2005,25.2
WA,2006,18.94
WA,2007,27.47
WA,2008,29.09
WA,2009,24.415
WA,2010,25.9
WA,2011,26.025
WA,2012,23.35
WA,2013,26.685
WA,2014,21.225
WA,2015,28.135
WA,2016,27.485
WA,2017,25.2
WA,2018,23.725
WA,2019,29.84
WA,2020,28.205
WA,2021,25.09
WA,2022,25.27
WA,2023,25.345
